"Service","Package","Version","Hide","Notes"
"azure-mgmt-managementgroups","azure-mgmt-managementgroups","0.2.0","",""
"azure-mgmt-managementpartner","azure-mgmt-managementpartner","0.1.1","",""
"azure-mgmt-maps","azure-mgmt-maps","0.1.0","",""
"azure-mgmt-marketplaceordering","azure-mgmt-marketplaceordering","0.2.1","",""
"azure-mgmt-media","azure-mgmt-media","2.1.0","",""
"azure-mgmt-mixedreality","azure-mgmt-mixedreality","0.1.0","",""
"azure-mgmt-monitor","azure-mgmt-monitor","0.9.0","",""
"azure-mgmt-msi","azure-mgmt-msi","1.0.0","",""
"azure-mgmt-netapp","azure-mgmt-netapp","0.10.0","",""
"azure-mgmt-network","azure-mgmt-network","10.2.0","",""
"azure-mgmt-notificationhubs","azure-mgmt-notificationhubs","2.1.0","",""
"azure-mgmt-nspkg","azure-mgmt-nspkg","3.0.2","",""
"azure-mgmt-operationsmanagement","azure-mgmt-operationsmanagement","0.1.0","",""
"azure-mgmt-peering","azure-mgmt-peering","0.2.0","",""
"azure-mgmt-policyinsights","azure-mgmt-policyinsights","0.5.0","",""
"azure-mgmt-powerbidedicated","azure-mgmt-powerbidedicated","0.1.0","",""
"azure-mgmt-powerbiembedded","azure-mgmt-powerbiembedded","2.0.0","",""
"azure-mgmt-privatedns","azure-mgmt-privatedns","0.1.0","",""
"azure-mgmt-rdbms","azure-mgmt-rdbms","2.2.0","",""
"azure-mgmt-recoveryservices","azure-mgmt-recoveryservices","0.5.0","",""
"azure-mgmt-recoveryservicesbackup","azure-mgmt-recoveryservicesbackup","0.7.0","",""
"azure-mgmt-redhatopenshift","azure-mgmt-redhatopenshift","0.1.0","",""
"azure-mgmt-redis","azure-mgmt-redis","6.0.0","",""
"azure-mgmt-relay","azure-mgmt-relay","0.2.0","",""
"azure-mgmt-reservations","azure-mgmt-reservations","0.7.0","",""
"azure-mgmt-resource","azure-mgmt-resource","9.0.0","",""
"azure-mgmt-resourcegraph","azure-mgmt-resourcegraph","2.0.0","",""
"azure-mgmt-scheduler","azure-mgmt-scheduler","2.0.0","",""
"azure-mgmt-search","azure-mgmt-search","2.1.0","",""
"azure-mgmt-security","azure-mgmt-security","0.3.0","",""
"azure-mgmt-serialconsole","azure-mgmt-serialconsole","0.1.0","",""
"azure-mgmt-servermanager","azure-mgmt-servermanager","2.0.0","",""
"azure-mgmt-servicebus","azure-mgmt-servicebus","0.6.0","",""
"azure-mgmt-servicefabric","azure-mgmt-servicefabric","0.4.0","",""
"azure-mgmt-signalr","azure-mgmt-signalr","0.3.0","",""
"azure-mgmt-sql","azure-mgmt-sql","0.18.0","",""
"azure-mgmt-sqlvirtualmachine","azure-mgmt-sqlvirtualmachine","0.5.0","",""
"azure-mgmt-storage","azure-mgmt-storage","10.0.0","",""
"azure-mgmt-storagecache","azure-mgmt-storagecache","0.3.0","",""
"azure-mgmt-storageimportexport","azure-mgmt-storageimportexport","0.1.0","",""
"azure-mgmt-storagesync","azure-mgmt-storagesync","0.2.0","",""
"azure-mgmt-subscription","azure-mgmt-subscription","0.5.0","",""
"azure-mgmt-support","azure-mgmt-support","1.0.0","",""
"azure-mgmt-synapse","azure-mgmt-synapse","0.2.0","",""
"azure-mgmt-timeseriesinsights","azure-mgmt-timeseriesinsights","0.2.0","",""
"azure-mgmt-trafficmanager","azure-mgmt-trafficmanager","0.51.0","",""
"azure-mgmt-vmwarecloudsimple","azure-mgmt-vmwarecloudsimple","0.2.0","",""
"azure-mgmt-web","azure-mgmt-web","0.46.0","",""
"azureml-sdk","azureml-sdk","1.2.0","",""
"azure-monitor","azure-monitor","0.3.1","",""
"azure-nspkg","azure-nspkg","3.0.2","",""
"azure-search","azure-search","1.0.0b1","","Replaced by: azure-search-documents"
"azure-search-documents","azure-search-documents","1.0.0b3","","Replaces: azure-search"
"azure-search-nspkg","azure-search-nspkg","1.0.0","",""
"azure-servicebus","azure-servicebus","0.50.2","","Will be replaced by: azure-servicebus 7.x"
"azure-servicefabric","azure-servicefabric","7.1.0.45","",""
"azure-servicemanagement-legacy","azure-servicemanagement-legacy","0.20.7","",""
"azure-storage","azure-storage","0.37.0","",""
"azure-storage-blob","azure-storage-blob","12.3.1","",""
"azure-storage-file","azure-storage-file","2.1.0","","Replaced by: azure-storage-file-share 12.x"
"azure-storage-file-datalake","azure-storage-file-datalake","12.0.1","",""
"azure-storage-file-share","azure-storage-file-share","12.1.1","","Replaces: azure-storage-file 2.1.0"
"azure-storage-queue","azure-storage-queue","12.1.1","",""
"azure-synapse","azure-synapse","0.1.0","",""
"azure-template","azure-template","0.0.3","",""
"doc-warden","doc-warden","0.6.1","",""
"msrest","msrest","0.6.13","",""
"msrestazure","msrestazure","0.6.3","",""
"tox-monorepo","tox-monorepo","0.1.2","",""
"uamqp","uamqp","1.2.7","",""
